"","word","mRT","acc"
"1","aas",1568,0.0256410256410256
"2","aback",728.375,0.41025641025641
"3","abaft",1376,0.025
"4","abase",692.75,0.1
"5","abased",813.8,0.25
"6","abashed",735.32,0.657894736842105
"7","abate",752.904761904762,0.567567567567568
"8","abates",723.409090909091,0.578947368421053
"9","abbess",736,0.157894736842105
"10","abbey",627.552631578947,0.95
"11","abbeys",630.416666666667,0.9
"12","abbot",728.72,0.657894736842105
"13","abbots",828.052631578947,0.513513513513513
"14","abbé",884.25,0.108108108108108
"15","abbés",539,0.027027027027027
"16","abduct",616.621621621622,1
"17","abeam",831.75,0.2
"18","abed",641.5,0.05
"19","abet",854.6,0.135135135135135
"20","abhor",752.285714285714,0.368421052631579
"21","abhorred",808.884615384615,0.65
"22","abhors",736.1875,0.4
"23","abide",631.75,0.9
"24","abides",662.676470588235,0.871794871794872
"25","abject",736.583333333333,0.631578947368421
"26","abjure",729,0.0789473684210526
"27","abjured",679,0.105263157894737
"28","ablaze",710.638888888889,0.972972972972973
"29","able",558.5,1
"30","abler",962,0.0833333333333333
"31","ablest",705,0.1
"32","ably",882.666666666667,0.25
"33","aboard",608.7,1
"34","abode",675.666666666667,0.789473684210526
"35","abodes",777.068965517241,0.763157894736842
"36","abort",628.277777777778,0.947368421052632
"37","aborts",622.710526315789,0.974358974358974
"38","abound",625.542857142857,0.921052631578947
"39","abounds",673.208333333333,0.631578947368421
"40","about",524.475,1
"41","above",504.921052631579,1
"42","abrade",582.5,0.15
"43","abreast",681.464285714286,0.7
"44","abridge",771.733333333333,0.75
"45","abridged",802.107142857143,0.756756756756757
"46","abroad",625.230769230769,0.975
"47","abrupt",643.225,1
"48","abscess",802.739130434783,0.638888888888889
"49","abscond",825.269230769231,0.65
"50","absconds",780.7,0.540540540540541
"51","absence",568.75,1
"52","absent",612.72972972973,0.973684210526316
"53","absents",639.193548387097,0.885714285714286
"54","absolve",605.333333333333,1
"55","absolved",713.371428571429,0.921052631578947
"56","absolves",651.514285714286,0.897435897435897
"57","absorb",591.410256410256,1
"58","absorbed",616.864864864865,1
"59","absorbs",615.868421052632,1
"60","abstain",627.666666666667,0.975
"61","abstained",699.641025641026,0.975
"62","abstract",555.5,1
"63","abstracts",563.1,1
"64","abstruse",812.166666666667,0.153846153846154
"65","absurd",609.589743589744,0.975
"66","abuse",549.972972972973,0.973684210526316
"67","abused",557.394736842105,1
"68","abyss",637.642857142857,0.736842105263158
"69","accede",750.444444444444,0.236842105263158
"70","accedes",703,0.2
"71","accent",558.275,1
"72","accents",599.815789473684,1
"73","accept",524.972972972973,0.973684210526316
"74","accepts",546.85,1
"75","access",585.974358974359,0.975
"76","acclaim",647.176470588235,0.918918918918919
"77","acclaimed",623.27027027027,0.973684210526316
"78","acclaims",615.666666666667,0.9
"79","accord",570.236842105263,1
"80","accords",591.742857142857,0.972222222222222
"81","accost",671.777777777778,0.710526315789474
"82","accosts",737,0.625
"83","account",518.525,1
"84","accounts",553.2,1
"85","accrete",906.928571428571,0.35
"86","accretes",880.6,0.25
"87","accrue",769.5,0.421052631578947
"88","accrued",803.391304347826,0.58974358974359
"89","accrues",766.388888888889,0.473684210526316
"90","accuse",553.125,1
"91","accused",596.189189189189,0.973684210526316
