"word","mRT","accuracy"
"Aaron",743.033333333333,0.967741935483871
"Abe",811.787878787879,1
"Abel",774.263157894737,0.612903225806452
"Abel's",846.074074074074,0.818181818181818
"Abigail",833.826086956522,0.793103448275862
"Abraham",799.647058823529,1
"Acadia",959.615384615385,0.393939393939394
"Acapulco",878.208333333333,0.75
"Achilles",795.444444444444,0.818181818181818
"Acropolis",937.5,0.787878787878788
"Ada",882.823529411765,0.5
"Ada's",934.944444444444,0.545454545454545
"Adam",608.0625,0.941176470588235
"Adam's",611.764705882353,1
"Adele",881.285714285714,0.6
"Adlai",1131.5,0.0606060606060606
"Adolf",784.857142857143,0.96551724137931
"Adonis",779.411764705882,0.5
"Adrian",838.777777777778,0.794117647058823
"Adriatic",927.277777777778,0.620689655172414
"Aegean",1022.23529411765,0.5
"Aeschylus",1137.125,0.258064516129032
"Afghan",824.807692307692,0.764705882352941
"Afghanistan",926.857142857143,0.848484848484849
"Afghans",1045.08695652174,0.71875
"Africa",636.625,0.96969696969697
"African",642.40625,0.96969696969697
"Africans",717.4375,0.96969696969697
"Agamemnon",967.777777777778,0.580645161290323
"Agamemnon's",1169.82352941176,0.548387096774194
"Agatha",965.857142857143,0.636363636363636
"Aggie",801.75,0.588235294117647
"Aggies",819.25,0.235294117647059
"Agnes",836.5,0.787878787878788
"Agrippa",916.3,0.3125
"Akron",799.333333333333,0.617647058823529
"Al",669.354838709677,0.939393939393939
"Al's",704.451612903226,0.939393939393939
"Alabama",696.71875,1
"Alabamans",979.666666666667,0.580645161290323
"Alamo",752.733333333333,0.967741935483871
"Alamogordo",671.25,0.125
"Alan",673.645161290323,0.911764705882353
"Alaska",542.633333333333,0.967741935483871
"Albania",762.034482758621,0.935483870967742
"Albanian",811.322580645161,0.911764705882353
"Albanians",938.515151515152,0.970588235294118
"Albany",700.433333333333,0.967741935483871
"Albert",621.5,0.909090909090909
"Alex",589.823529411765,1
"Alex's",651.470588235294,1
"Alexander",707.709677419355,1
"Alexander's",770.060606060606,1
"Alexandria",668.09375,1
"Alexei",946.666666666667,0.4
"Alexis",704.121212121212,0.942857142857143
"Alfonso",731.28,0.806451612903226
"Alfred",724.96875,1
"Alfred's",729.6875,0.96969696969697
"Algeria",781.785714285714,0.875
"Algerian",746,0.939393939393939
"Algerians",823.269230769231,0.8125
"Alice",650.483870967742,0.96875
"Alicia",763.034482758621,0.852941176470588
"Allah",757.107142857143,0.848484848484849
"Allan",755.344827586207,0.878787878787879
"Alleluia",1108.26666666667,0.483870967741935
"Allen",699.685714285714,1
"Allen's",655.566666666667,0.909090909090909
"Allison",712.757575757576,0.942857142857143
"Allison's",660.774193548387,0.939393939393939
"Almighty",726.965517241379,0.935483870967742
"Alp",796.192307692308,0.8125
"Alpine",696.766666666667,0.909090909090909
"Alps",711.878787878788,0.970588235294118
"Amazon",664.03125,1
"Amazonian",895.607142857143,0.823529411764706
"Amazons",652.636363636364,1
"Ambrose",930.384615384615,0.764705882352941
"Amelia's",716.4,0.909090909090909
"Amen",633.233333333333,0.967741935483871
"America",658.735294117647,1
"America's",659.9375,0.941176470588235
"American",643.666666666667,0.970588235294118
"American's",665.75,1
"Americana",856.730769230769,0.838709677419355
"Americanize",1012.78571428571,0.903225806451613
"Americans",597.9375,1
"Americas",794.676470588235,1
"Amsterdam",814.866666666667,0.9375
"Amy",615.617647058824,0.971428571428571
"Anchorage",754.787878787879,0.970588235294118
"Andean",867.8,0.46875
"Andersen",777.607142857143,0.823529411764706
"Andover",879.285714285714,0.823529411764706
"Andre",693.966666666667,0.9375
"Andrea",639.290322580645,1
"Andrew",604.15625,0.96969696969697
"Andy",677.34375,1
"Andy's",646,0.970588235294118
"Angelica",775.515151515152,0.942857142857143
"Angelina",908.966666666667,0.9375
"Angelo",732.41935483871,0.96875
"Angelo's",772.65625,0.96969696969697
"Angie",677.75,1
"Anglican",832.24,0.862068965517241
"Anglicanism",1186.85714285714,0.482758620689655
"Anglicans",809.928571428571,0.875
"Anglicism",955.111111111111,0.545454545454545
"Anglicize",672.75,0.285714285714286
"Anglophile",1402.18181818182,0.366666666666667
"Anglophilia",1577.55555555556,0.310344827586207
"Anglophobe",937,0.272727272727273
"Anglophobia",1139.25,0.413793103448276
"Angola",843.608695652174,0.71875
"Angora",852.35,0.588235294117647
"Anita",725.727272727273,1
"Ann",549.193548387097,0.911764705882353
"Ann's",630.090909090909,1
"Anna",680.545454545455,1
"Annapolis",800.08,0.78125
"Anne",604,0.96969696969697
"Anne's",639.290322580645,0.939393939393939
"Annie",726.147058823529,1
"Antarctic",912.961538461538,0.838709677419355
"Antarctica",791.708333333333,0.857142857142857
"Anthony",689.7,0.9375
"Anthony's",676.066666666667,0.967741935483871
"Antietam",824,0.193548387096774
"Antigua",985.764705882353,0.548387096774194
"Antoine",914.166666666667,0.580645161290323
"Antoine's",791.193548387097,0.885714285714286
"Antoinette",977.269230769231,0.8125
"Antonio",724.606060606061,1
"Apache",787.310344827586,0.90625
